Marke,Produkt,Packungsmenge,Preis/Packung,Auf Lager,Regal
Ariel,All-In-One Waschtabs,50 Tabs,1.19 €,87,A2
Babybel,MINI Babybel Original,9,2.20 €,47,A8
Spee,Color 4in1,22 Wäschen,5.19 €,63,F5
Müller,Müllermilch,400ml,1.49 €,78,G4
Coca-Cola,Classic,1l,1.19 €,342,Z7
Hershey's,Cookies 'n' Creme,43g,0.89 €,36,C4
Kellog's,Cornflakes,500g,3.49 €,147,F3
Barilla,Spaghetti No.5,500g,1.59 €,30,E6
Lindt,Excellence 70% Kakao,100g,1.59 €,200,E8
Pringles,Original,200g,2.49 €,43,E9
Innocent,Smoothie Erdbeere Banane,250ml,2.99 €,14,Y2
Dr. Oetker,Ristorante Pizza Mozarella,335g,3.99 €,112,G9
